News agancy,Tweet,Month,day,year
FoxNews,Rio police say they have not concluded whether the US swimmers will face charges for lying or vandalism. https://t.co/q9AgS1ILKW,Aug,18,2016
FoxNews,Rio police: The US swimmers paid for damages and left before police arrived. https://t.co/JqBBfNsXmT,Aug,18,2016
FoxNews,Rio police: The US swimmers did not want to wait at the gas station for police to arrive. https://t.co/WWO61OtRAp,Aug,18,2016
FoxNews,Rio police say one or more of the US swimmers broke mirrors in the bathroom and other equipment.,Aug,18,2016
FoxNews,Rio police on US swimmers: There was no robbery. https://t.co/v4KuBZ21m1,Aug,18,2016
FoxNews,Rio police on US swimmers:  An act of vandalism had been perpetrated by one or more of the athletes. https://t.co/V1LT00a5It,Aug,18,2016
FoxNews,Rio police on U.S. swimmers' story about being robbed: 'It was contradictory from the very beginning.' https://t.co/mUWcjkS1rk,Aug,18,2016
FoxNews,WATCH LIVE: Brazilian police hold press conference on Olympic swimmers incident   https://t.co/M44Cb5tmDQ,Aug,18,2016
FoxNews,The ultimate car lover? Ohio man arrested after sex act with van   https://t.co/izB5wL3bh6 https://t.co/UydXgWw9j5,Aug,18,2016
FoxNews,RT @foxnewshealth: Autistic man receives surprise gift from Michael Jordan https://t.co/OSw1n4EXyj https://t.co/nBtoWCP104,Aug,18,2016
FoxNews,"Ex-NFL star Darren Sharper gets 18 years in prison for drugging, raping women  https://t.co/HyRrAhNNlG https://t.co/FLA9UbGjvX",Aug,18,2016
FoxNews,"RT @foxnewspolitics: FOX NEWS HALFTIME REPORT: Don't kid yourself, the polls are usually right  https://t.co/PKAzfpjvQv via @ChrisStirewalt…",Aug,18,2016
FoxNews,RT @fxnopinion: Gov. Cuomo needs to let New York teens save lives through organ donation   @LiveOnNewYork   https://t.co/EKlJ1j7L59 https:/…,Aug,18,2016
FoxNews,Ferocious Southern California wildfire brings destruction and uncertainty  https://t.co/RpDGb1zFGL https://t.co/yo2OpzRmwb,Aug,18,2016
FoxNews,A Harvard professor is defending #DonaldTrump's plan for extreme vetting of immigrants. https://t.co/fiWAddIMG7 https://t.co/d6J5gBNZnZ,Aug,18,2016
